NAME_ENGL,ISO3_CODE,pillar_num,pillar_txt,type,title,url,version,filename,icon
Brazil,BRA,1,Connectivity and infrastructure,⌕ Analysis,⌕ Mobile connectivity enablers,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,2,NA,⌕
Brazil,BRA,1,Connectivity and infrastructure,⌕ Analysis,⌕ Mobile internet trends,https://www.gsma.com/r/somic/,2,NA,⌕
Brazil,BRA,1,Connectivity and infrastructure,⌕ Analysis,⌕ Global indicators & benchmarks,https://www.itu.int/en/ITU-D/Statistics/pages/facts/default.aspx,2,NA,⌕
Brazil,BRA,3,Responsibility and sustainability,⌕ Analysis,⌕ Digital economy & governance,https://www.worldbank.org/en/publication/digital-progress-and-trends-report,2,NA,⌕
Brazil,BRA,4,Trust and resilience,⌕ Analysis,⌕ Shutdowns,https://www.accessnow.org/wp-content/uploads/2025/02/KeepItOn-2024-Internet-Shutdowns-Annual-Report.pdf,2,NA,⌕
Brazil,BRA,2,Rights and freedoms,⌕ Analysis,⌕ Network disruptions & censorship,https://netblocks.org/reports,2,NA,⌕
Brazil,BRA,1,Connectivity and infrastructure,⌕ Analysis,⌕ Speeds & quality (broadband/mobile),https://www.speedtest.net/global-index,2,NA,⌕
Brazil,BRA,3,Responsibility and sustainability,⌕ Analysis,⌕ Trends & governance,https://www.internetsociety.org/globalinternetreport/,2,NA,⌕
Brazil,BRA,3,Responsibility and sustainability,⌕ Analysis,⌕ Digital media ecosystem & sustainability,https://internetlab.org.br/wp-content/uploads/2024/08/relatorio_midiasindependentes_portugues_ok.pdf,NA,NA,⌕
Brazil,BRA,4,Trust and resilience,⚑ Project,⚑ Credit Expansion Program (Brazil),https://www.iadb.org/es/proyecto/BR-L1619,1,BRA-1,⚑
Burkina Faso,BFA,1,Connectivity and infrastructure,⌕ Analysis,⌕ Resilience & infrastructure,https://pulse.internetsociety.org/en/reports/BF,3,NA,⌕
Burkina Faso,BFA,4,Trust and resilience,⌕ Analysis,⌕ Internet resilience,https://pulse.internetsociety.org/en/resilience/BF,3,NA,⌕
Burkina Faso,BFA,1,Connectivity and infrastructure,⌕ Analysis,⌕ Connectivity & usage,https://datareportal.com/,3,NA,⌕
Burkina Faso,BFA,1,Connectivity and infrastructure,⌕ Analysis,⌕ Mobile connectivity enablers,https://www.mobileconnectivityindex.com/assets/excelData/MCI_data_2025.xlsx,3,NA,⌕
Burkina Faso,BFA,1,Connectivity and infrastructure,⌕ Analysis,⌕ Mobile internet trends,https://www.gsma.com/r/somic/,3,NA,⌕
